Personal characteristics;Countries;Periods;Evaluation of trust in/Other people (score);Evaluation of trust in/Legal system (score);Evaluation of trust in/Police (score);Evaluation of trust in/Politicians  (score);Evaluation of trust in/Parliament (score);Evaluation of trust in/Political parties (score);Evaluation of trust in/European Parliament (score);Evaluation of trust in/United Nations (score);Percentage of people with trust in/Other people (%);Percentage of people with trust in/Legal system (%);Percentage of people with trust in/Police (%);Percentage of people with trust in/Politicians (%);Percentage of people with trust in/Parliament  (%);Percentage of people with trust in/Political parties (%);Percentage of people with trust in/European Parliament (%);Percentage of people with trust in/United Nations (%)
Total;United Kingdom;2004;5,2;5,1;6,1;3,6;4,3;3,7;3,5;5,2;43;45;62;19;29;19;19;47
Total;United Kingdom;2006;5,4;5;6;3,4;4,2;4,6;4,5;6,4;47;43;61;17;28;16;18;43
Total;United Kingdom;2008;5,3;5,2;6,2;3,6;4,3;3,6;3,6;5,1;47;46;66;17;31;18;20;44
Total;United Kingdom;2010;5,4;5,2;6,2;3,4;4,1;3,5;3,4;4,9;49;48;65;18;30;19;18;43
Total;United Kingdom;2012;5,4;5,6;6,6;3,7;4,3;3,7;3,4;5,2;48;52;73;21;31;19;18;47
Total;United Kingdom;2014;5,4;5,6;6,3;3,5;4,3;3,5;3,1;4,9;48;55;67;20;34;19;17;43
Total;United Kingdom;2016;5,4;5,9;6,7;3,8;4,7;3,8;3,7;5,3;49;62;73;22;37;21;23;50
Total;United Kingdom;2018;5,2;5,8;6,7;3,5;4,3;3,6;3,5;5,1;45;59;73;20;33;19;22;46
Total;Sweden;2002;6,1;6,1;6,8;4,7;5,9;;4;6,6;61;61;74;37;58;;25;70
Total;Sweden;2004;6,1;5,8;6,5;4,2;5,4;4,4;4;6,3;61;56;69;28;48;30;24;67
Total;Sweden;2006;6,3;6;6,5;4,5;5,6;3,2;5;5,1;67;62;71;32;53;34;32;70
Total;Sweden;2008;6,4;6,1;6,6;4,6;5,7;4,8;4,7;6,4;67;64;73;34;57;36;36;71
Total;Sweden;2010;6,3;6,5;7;5;6,3;5,1;5;6,3;68;72;81;41;67;43;41;67
Total;Sweden;2012;6;6,3;6,7;4,7;5,9;4,9;4,7;6,3;63;66;74;38;60;38;36;69
Total;Sweden;2014;6,2;6,4;6,9;5;6,2;5,1;4,7;6,4;66;69;77;43;66;44;37;68
Total;Sweden;2016;6,2;6,2;6,7;4,7;5,9;4,8;4,8;6,2;67;67;75;38;60;38;37;64
Total;Sweden;2018;6,3;6,5;7;4,9;6,2;5;5,1;6,3;68;72;80;42;65;42;46;68
Total;Switzerland;2002;5,6;6,2;6,8;4,9;5,8;;4,8;5,4;51;63;75;37;55;;35;50
Total;Switzerland;2004;5,7;6,1;6,9;4,8;5,5;4,6;4,6;5,4;54;61;77;34;48;29;33;48
Total;Switzerland;2006;5,7;6,2;6,9;4,9;5,8;3,6;5,1;5,3;53;65;78;38;54;34;35;49
Total;Switzerland;2008;5,7;6,4;6,9;4,9;5,8;4,7;4,8;5,6;53;68;77;40;58;33;39;54
Total;Switzerland;2010;5,6;6,3;7;5;5,8;4,8;4,6;5,3;53;64;79;42;56;36;33;49
Total;Switzerland;2012;5,7;6,5;7,2;5,2;6,1;5;4,7;5,5;54;70;82;45;63;41;35;51
Total;Switzerland;2014;5,7;6,6;7,2;5,3;6,2;5,1;4,5;5,4;53;72;82;47;66;43;33;48
Total;Switzerland;2016;6;6,6;7,2;5,4;6,3;5,2;4,5;5,2;60;72;83;49;68;45;34;49
Total;Switzerland;2018;5,9;6,8;7,4;5,4;6,4;5,2;4,8;5,4;59;75;85;50;69;45;40;50
