Personal characteristics;Countries;Periods;Evaluation of trust in/Other people (score);Evaluation of trust in/Legal system (score);Evaluation of trust in/Police (score);Evaluation of trust in/Politicians  (score);Evaluation of trust in/Parliament (score);Evaluation of trust in/Political parties (score);Evaluation of trust in/European Parliament (score);Evaluation of trust in/United Nations (score);Percentage of people with trust in/Other people (%);Percentage of people with trust in/Legal system (%);Percentage of people with trust in/Police (%);Percentage of people with trust in/Politicians (%);Percentage of people with trust in/Parliament  (%);Percentage of people with trust in/Political parties (%);Percentage of people with trust in/European Parliament (%);Percentage of people with trust in/United Nations (%)
Total;Latvia;2008;;;;;;;;;;;;;;;;
Total;Latvia;2010;;;;;;;;;;;;;;;;
Total;Latvia;2012;;;;;;;;;;;;;;;;
Total;Latvia;2014;;;;;;;;;;;;;;;;
Total;Latvia;2016;;;;;;;;;;;;;;;;
Total;Latvia;2018;4,4;4,4;5,7;2,7;3,4;2,6;4,4;4,8;29;31;53;9;17;8;35;41
Total;Lithuania;2002;;;;;;;;;;;;;;;;
Total;Lithuania;2004;;;;;;;;;;;;;;;;
Total;Lithuania;2006;;;;;;;;;;;;;;;;
Total;Lithuania;2008;;;;;;;;;;;;;;;;
Total;Lithuania;2010;;;;;;;;;;;;;;;;
Total;Lithuania;2012;5,2;4;5,5;2,9;3,1;2,8;4,7;5;49;27;53;12;16;12;41;46
Total;Lithuania;2014;4,9;4,5;5,7;3,1;3,3;3;5,2;5,6;42;36;55;15;19;15;49;53
Total;Lithuania;2016;5,2;5;6,1;3,5;3,9;3,2;5,6;5,8;51;43;62;20;25;18;52;55
Total;Lithuania;2018;4,7;4,6;6,2;3,2;3,4;2,9;5,1;5,3;35;37;62;16;21;15;44;46
Total;Montenegro;2002;;;;;;;;;;;;;;;;
Total;Montenegro;2004;;;;;;;;;;;;;;;;
Total;Montenegro;2006;;;;;;;;;;;;;;;;
Total;Montenegro;2008;;;;;;;;;;;;;;;;
Total;Montenegro;2010;;;;;;;;;;;;;;;;
Total;Montenegro;2012;;;;;;;;;;;;;;;;
Total;Montenegro;2014;;;;;;;;;;;;;;;;
Total;Montenegro;2016;;;;;;;;;;;;;;;;
Total;Montenegro;2018;3,6;4,3;5,1;3;4,1;3;4,8;4,9;20;34;44;17;32;15;40;40
